FID_1;LABEL;Count_;FID_12;Annee;Saison;LAT;LONG;LAT_D;LONG_D;Esp1;Pres_Esp1;Esp2;Pres_Esp2;Salinite;Temp;DO;pH
346;BW88;26;1333;2020;automne;25,447778;-15,61;25,44777800000;-15,61000000000;0,00000000000;0;0,00000000000;0;36,45300000000;20,53000000000;4,71000000000;7,99990000000
347;BX88;17;1348;2020;automne;25,338056;-15,403611;25,33805600000;-15,40361100000;0,00000000000;0;0,00000000000;0;36,44700000000;20,68000000000;4,79700000000;7,96970000000
348;BY88;18;1358;2020;automne;25,463889;-15,230833;25,46388900000;-15,23083300000;0,00000000000;0;0,00000000000;0;36,41000000000;20,27000000000;4,72900000000;7,96940000000
349;CZ88;15;1371;2020;automne;25,358333;-15,1111;25,35833300000;-15,11110000000;0,00000000000;0;0,00000000000;0;36,43200000000;19,57000000000;4,70600000000;7,96920000000
350;CA88;29;1386;2020;automne;25,343889;-14,967778;25,34388900000;-14,96777800000;0,00000000000;0;0,00000000000;0;36,45200000000;19,36000000000;4,71600000000;7,96000000000
351;CB88;13;1415;2020;automne;25,438889;-14,808889;25,43888900000;-14,80888900000;8210,70000000000;1;7839,30000000000;1;36,45300000000;19,44000000000;4,71300000000;7,96000000000
352;BO89;3;1428;2020;automne;25,266944;-16,98611;25,26694400000;-16,98611000000;0,00000000000;0;0,00000000000;0;36,42100000000;20,93000000000;5,03700000000;7,99970000000
353;BP89;2;1429;2020;automne;25,260278;-16,81944;25,26027800000;-16,81944000000;0,00000000000;0;0,00000000000;0;36,42900000000;20,88000000000;5,02900000000;7,99980000000
354;BQ89;2;1430;2020;automne;25,253889;-16,64722;25,25388900000;-16,64722000000;0,00000000000;0;0,00000000000;0;36,43500000000;20,89000000000;5,02100000000;7,99990000000
355;BR89;2;1431;2020;automne;25,246944;-16,47778;25,24694400000;-16,47778000000;0,00000000000;0;0,00000000000;0;36,43800000000;20,91000000000;5,01500000000;7,99990000000
356;BS89;14;1432;2020;automne;25,3225;-16,183056;25,32250000000;-16,18305600000;0,00000000000;0;0,00000000000;0;36,44100000000;20,62000000000;5,09100000000;7,99970000000
357;BT89;8;1439;2020;automne;25,284722;-16,150278;25,28472200000;-16,15027800000;0,00000000000;0;0,00000000000;0;36,41200000000;20,35000000000;4,72200000000;7,99930000000
358;BU89;26;1443;2020;automne;25,225556;-15,998056;25,22555600000;-15,99805600000;0,00000000000;0;0,00000000000;0;36,44000000000;20,58000000000;4,70500000000;7,99950000000
359;BV89;18;1458;2020;automne;25,29;-15,6775;25,29000000000;-15,67750000000;0,00000000000;0;0,00000000000;0;36,42800000000;20,84000000000;4,72200000000;7,99960000000
360;BW89;25;1468;2020;automne;25,216667;-15,511111;25,21666700000;-15,51111100000;0,00000000000;0;0,00000000000;0;36,43300000000;20,50000000000;4,70900000000;7,99980000000
361;BX89;22;1485;2020;automne;25,331111;-15,386667;25,33111100000;-15,38666700000;0,00000000000;0;0,00000000000;0;36,45000000000;20,27000000000;4,79300000000;7,96990000000
362;BY89;21;1504;2020;automne;25,253056;-15,179722;25,25305600000;-15,17972200000;0,00000000000;0;0,00000000000;0;36,42300000000;20,83000000000;4,70700000000;7,96960000000
363;CZ89;10;1519;2020;automne;25,177778;-15,11389;25,17777800000;-15,11389000000;0,00000000000;0;0,00000000000;0;36,34800000000;19,36000000000;4,79700000000;7,93980000000
364;CA89;23;1529;2020;automne;25,170556;-14,994722;25,17055600000;-14,99472200000;0,00000000000;0;0,00000000000;0;36,34000000000;19,69000000000;4,70700000000;7,93960000000
365;BS90;25;1552;2020;automne;25,11;-16,172222;25,11000000000;-16,17222200000;0,00000000000;0;0,00000000000;0;36,45000000000;20,24000000000;5,09200000000;7,99990000000
366;BT90;3;1565;2020;automne;25,1025;-16,155833;25,10250000000;-16,15583300000;0,00000000000;0;0,00000000000;0;36,45100000000;20,40000000000;5,09800000000;7,99990000000
367;BU90;5;1566;2020;automne;25,12778;-15,958889;25,12778000000;-15,95888900000;0,00000000000;0;11,12000000000;1;36,44900000000;20,30000000000;4,79500000000;7,99980000000
368;BV90;17;1569;2020;automne;25,149722;-15,8175;25,14972200000;-15,81750000000;0,00000000000;0;0,00000000000;0;36,44700000000;20,70000000000;4,79900000000;7,96970000000
369;BW90;2;1580;2020;printemps;25,15833;-15,515278;25,15833000000;-15,51527800000;183,41000000000;1;0,06000000000;1;36,43000000000;20,10000000000;4,70600000000;7,96950000000
370;BX90;10;1582;2020;automne;25,141944;-15,346944;25,14194400000;-15,34694400000;0,00000000000;0;0,00000000000;0;36,43300000000;20,50000000000;4,71000000000;7,96980000000
371;BY90;10;1592;2020;automne;25,103611;-15,263056;25,10361100000;-15,26305600000;0,00000000000;0;0,00000000000;0;36,44600000000;19,66000000000;4,79500000000;7,96990000000
372;CA90;19;1602;2020;automne;25,1575;-14,960833;25,15750000000;-14,96083300000;0,00000000000;0;0,00000000000;0;36,33100000000;19,59000000000;4,79700000000;7,93950000000
373;BO91;3;1621;2020;automne;24,909722;-16,85;24,90972200000;-16,85000000000;0,00000000000;0;16,72000000000;1;36,43100000000;20,58000000000;5,09100000000;7,99950000000
374;BP91;3;1623;2020;automne;24,901944;-16,68611;24,90194400000;-16,68611000000;0,00000000000;0;16,91000000000;1;36,43800000000;20,62000000000;5,09100000000;7,99960000000
